object,survey,pdf,reason
NGC  6341  9013,TESS,1992AJ____103_1573R,no survey
NGC  6341  9013,Mellinger Red,1992AJ____103_1573R,no survey
NGC  6341  9013,Mellinger Green,1992AJ____103_1573R,no survey
NGC  6341  9013,Mellinger Blue,1992AJ____103_1573R,no survey
NGC  6341  9013,H-Alpha Comp,1992AJ____103_1573R,no survey
NGC  6341  9013,SHASSA H,1992AJ____103_1573R,no survey
NGC  6341  9013,SHASSA CC,1992AJ____103_1573R,no survey
NGC  6341  9013,SHASSA C,1992AJ____103_1573R,no survey
NGC  6341  9013,SHASSA Sm,1992AJ____103_1573R,no survey
