object,survey,pdf,reason
Cl* NGC 4590    HAR      V,Mellinger Red,1975ApJS___29__397H,exception
Cl* NGC 4590    HAR      V,Mellinger Green,1975ApJS___29__397H,exception
Cl* NGC 4590    HAR      V,Mellinger Blue,1975ApJS___29__397H,exception
Cl* NGC 4590    HAR      V,SHASSA H,1975ApJS___29__397H,no survey
Cl* NGC 4590    HAR      V,SHASSA CC,1975ApJS___29__397H,no survey
Cl* NGC 4590    HAR      V,SHASSA C,1975ApJS___29__397H,no survey
Cl* NGC 4590    HAR      V,SHASSA Sm,1975ApJS___29__397H,no survey
