object,survey,pdf,reason
Cl* NGC 6121      Y     174,Mellinger Red,1990AJ_____99_1491C,exception
Cl* NGC 6121      Y     174,Mellinger Green,1990AJ_____99_1491C,exception
Cl* NGC 6121      Y     174,Mellinger Blue,1990AJ_____99_1491C,exception
Cl* NGC 6121      Y     174,SHASSA H,1990AJ_____99_1491C,no survey
Cl* NGC 6121      Y     174,SHASSA CC,1990AJ_____99_1491C,no survey
Cl* NGC 6121      Y     174,SHASSA C,1990AJ_____99_1491C,no survey
Cl* NGC 6121      Y     174,SHASSA Sm,1990AJ_____99_1491C,no survey
