object,survey,pdf,reason
* bet Oph,GOODS: Chandra ACIS HB,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Chandra ACIS FB,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Chandra ACIS SB,1903ApJ____18__237F,no survey
* bet Oph,GOODS: VLT VIMOS U,1903ApJ____18__237F,no survey
* bet Oph,GOODS: VLT VIMOS R,1903ApJ____18__237F,no survey
* bet Oph,GOODS: HST ACS B,1903ApJ____18__237F,no survey
* bet Oph,GOODS: HST ACS V,1903ApJ____18__237F,no survey
* bet Oph,GOODS: HST ACS I,1903ApJ____18__237F,no survey
* bet Oph,GOODS: HST ACS Z,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF U,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF B,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF V0201,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF V0401,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF R,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF I,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF z,1903ApJ____18__237F,no survey
* bet Oph,Hawaii HDF HK,1903ApJ____18__237F,no images
* bet Oph,GOODS: HST NICMOS,1903ApJ____18__237F,no survey
* bet Oph,GOODS: VLT ISAAC J,1903ApJ____18__237F,no survey
* bet Oph,GOODS: VLT ISAAC H,1903ApJ____18__237F,no survey
* bet Oph,GOODS: VLT ISAAC Ks,1903ApJ____18__237F,no survey
* bet Oph,HUDF: VLT ISAAC Ks,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Spitzer IRAC 3.6,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Spitzer IRAC 4.5,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Spitzer IRAC 5.8,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Spitzer IRAC 8.0,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Spitzer MIPS 24,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Herschel 100,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Herschel 160,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Herschel 250,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Herschel 350,1903ApJ____18__237F,no survey
* bet Oph,GOODS: Herschel 500,1903ApJ____18__237F,no survey
* bet Oph,CDFS: LESS,1903ApJ____18__237F,no survey
* bet Oph,GOODS: VLA North,1903ApJ____18__237F,no survey
