object,survey,pdf,reason
Cl* NGC 1851    PML       2,Mellinger Red,1994ApJ___423__305P,exception
Cl* NGC 1851    PML       2,Mellinger Green,1994ApJ___423__305P,exception
Cl* NGC 1851    PML       2,Mellinger Blue,1994ApJ___423__305P,exception
Cl* NGC 1851    PML       2,SHASSA H,1994ApJ___423__305P,no survey
Cl* NGC 1851    PML       2,SHASSA CC,1994ApJ___423__305P,no survey
Cl* NGC 1851    PML       2,SHASSA C,1994ApJ___423__305P,no survey
Cl* NGC 1851    PML       2,SHASSA Sm,1994ApJ___423__305P,no survey
