object,survey,pdf,reason
Cl* NGC 6205    KAD     242,Mellinger Red,1979AJ_____84__774C,exception
Cl* NGC 6205    KAD     242,Mellinger Green,1979AJ_____84__774C,exception
Cl* NGC 6205    KAD     242,Mellinger Blue,1979AJ_____84__774C,exception
Cl* NGC 6205    KAD     242,SHASSA H,1979AJ_____84__774C,no survey
Cl* NGC 6205    KAD     242,SHASSA CC,1979AJ_____84__774C,no survey
Cl* NGC 6205    KAD     242,SHASSA C,1979AJ_____84__774C,no survey
Cl* NGC 6205    KAD     242,SHASSA Sm,1979AJ_____84__774C,no survey
