object,survey,pdf,reason
Cl* Melotte   25     VA     718,GOODS: Chandra ACIS HB,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Chandra ACIS FB,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Chandra ACIS SB,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: VLT VIMOS U,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: VLT VIMOS R,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: HST ACS B,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: HST ACS V,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: HST ACS I,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: HST ACS Z,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF U,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF B,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF V0201,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF V0401,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF R,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF I,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF z,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,Hawaii HDF HK,1969AJ_____74____2V,no images
Cl* Melotte   25     VA     718,GOODS: HST NICMOS,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: VLT ISAAC J,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: VLT ISAAC H,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: VLT ISAAC Ks,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,HUDF: VLT ISAAC Ks,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Spitzer IRAC 3.6,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Spitzer IRAC 4.5,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Spitzer IRAC 5.8,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Spitzer IRAC 8.0,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Spitzer MIPS 24,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Herschel 100,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Herschel 160,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Herschel 250,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Herschel 350,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: Herschel 500,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,CDFS: LESS,1969AJ_____74____2V,no survey
Cl* Melotte   25     VA     718,GOODS: VLA North,1969AJ_____74____2V,no survey
