object,survey,pdf,reason
AzV 474,GOODS: Chandra ACIS HB,1959AJ_____64__175A,no survey
AzV 474,GOODS: Chandra ACIS FB,1959AJ_____64__175A,no survey
AzV 474,GOODS: Chandra ACIS SB,1959AJ_____64__175A,no survey
AzV 474,GOODS: VLT VIMOS U,1959AJ_____64__175A,no survey
AzV 474,GOODS: VLT VIMOS R,1959AJ_____64__175A,no survey
AzV 474,GOODS: HST ACS B,1959AJ_____64__175A,no survey
AzV 474,GOODS: HST ACS V,1959AJ_____64__175A,no survey
AzV 474,GOODS: HST ACS I,1959AJ_____64__175A,no survey
AzV 474,GOODS: HST ACS Z,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF U,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF B,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF V0201,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF V0401,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF R,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF I,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF z,1959AJ_____64__175A,no survey
AzV 474,Hawaii HDF HK,1959AJ_____64__175A,no images
AzV 474,GOODS: HST NICMOS,1959AJ_____64__175A,no survey
AzV 474,GOODS: VLT ISAAC J,1959AJ_____64__175A,no survey
AzV 474,GOODS: VLT ISAAC H,1959AJ_____64__175A,no survey
AzV 474,GOODS: VLT ISAAC Ks,1959AJ_____64__175A,no survey
AzV 474,HUDF: VLT ISAAC Ks,1959AJ_____64__175A,no survey
AzV 474,GOODS: Spitzer IRAC 3.6,1959AJ_____64__175A,no survey
AzV 474,GOODS: Spitzer IRAC 4.5,1959AJ_____64__175A,no survey
AzV 474,GOODS: Spitzer IRAC 5.8,1959AJ_____64__175A,no survey
AzV 474,GOODS: Spitzer IRAC 8.0,1959AJ_____64__175A,no survey
AzV 474,GOODS: Spitzer MIPS 24,1959AJ_____64__175A,no survey
AzV 474,GOODS: Herschel 100,1959AJ_____64__175A,no survey
AzV 474,GOODS: Herschel 160,1959AJ_____64__175A,no survey
AzV 474,GOODS: Herschel 250,1959AJ_____64__175A,no survey
AzV 474,GOODS: Herschel 350,1959AJ_____64__175A,no survey
AzV 474,GOODS: Herschel 500,1959AJ_____64__175A,no survey
AzV 474,CDFS: LESS,1959AJ_____64__175A,no survey
AzV 474,GOODS: VLA North,1959AJ_____64__175A,no survey
