object,survey,pdf,reason
PMN J2114-3326,CO,1996ApJS__103__145W,no survey
PMN J2114-3326,GB6 (4850MHz),1996ApJS__103__145W,no survey
PMN J2114-3326,VLA FIRST (1.4 GHz),1996ApJS__103__145W,no survey
PMN J2114-3326,NVSS,1996ApJS__103__145W,no survey
PMN J2114-3326,Stripe82VLA,1996ApJS__103__145W,no survey
PMN J2114-3326,1420MHz (Bonn),1996ApJS__103__145W,no survey
PMN J2114-3326,HI4PI,1996ApJS__103__145W,no survey
PMN J2114-3326,EBHIS,1996ApJS__103__145W,no survey
PMN J2114-3326,nH,1996ApJS__103__145W,no survey
