object,survey,pdf,reason
Cl* Melotte   20     AP     173,Mellinger Red,1994AJ____107_1422P,exception
Cl* Melotte   20     AP     173,Mellinger Green,1994AJ____107_1422P,exception
Cl* Melotte   20     AP     173,Mellinger Blue,1994AJ____107_1422P,exception
Cl* Melotte   20     AP     173,SHASSA H,1994AJ____107_1422P,no survey
Cl* Melotte   20     AP     173,SHASSA CC,1994AJ____107_1422P,no survey
Cl* Melotte   20     AP     173,SHASSA C,1994AJ____107_1422P,no survey
Cl* Melotte   20     AP     173,SHASSA Sm,1994AJ____107_1422P,no survey
