object,survey,pdf,reason
NAME SMC,GOODS: Chandra ACIS HB,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Chandra ACIS FB,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Chandra ACIS SB,1958AJ_____63__273A,no survey
NAME SMC,GOODS: VLT VIMOS U,1958AJ_____63__273A,no survey
NAME SMC,GOODS: VLT VIMOS R,1958AJ_____63__273A,no survey
NAME SMC,GOODS: HST ACS B,1958AJ_____63__273A,no survey
NAME SMC,GOODS: HST ACS V,1958AJ_____63__273A,no survey
NAME SMC,GOODS: HST ACS I,1958AJ_____63__273A,no survey
NAME SMC,GOODS: HST ACS Z,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF U,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF B,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF V0201,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF V0401,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF R,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF I,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF z,1958AJ_____63__273A,no survey
NAME SMC,Hawaii HDF HK,1958AJ_____63__273A,no images
NAME SMC,GOODS: HST NICMOS,1958AJ_____63__273A,no survey
NAME SMC,GOODS: VLT ISAAC J,1958AJ_____63__273A,no survey
NAME SMC,GOODS: VLT ISAAC H,1958AJ_____63__273A,no survey
NAME SMC,GOODS: VLT ISAAC Ks,1958AJ_____63__273A,no survey
NAME SMC,HUDF: VLT ISAAC Ks,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Spitzer IRAC 3.6,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Spitzer IRAC 4.5,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Spitzer IRAC 5.8,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Spitzer IRAC 8.0,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Spitzer MIPS 24,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Herschel 100,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Herschel 160,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Herschel 250,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Herschel 350,1958AJ_____63__273A,no survey
NAME SMC,GOODS: Herschel 500,1958AJ_____63__273A,no survey
NAME SMC,CDFS: LESS,1958AJ_____63__273A,no survey
NAME SMC,GOODS: VLA North,1958AJ_____63__273A,no survey
