object,survey,pdf,reason
NGC   685,GOODS: Chandra ACIS HB,1975AJ_____80___77W,no survey
NGC   685,GOODS: Chandra ACIS FB,1975AJ_____80___77W,no survey
NGC   685,GOODS: Chandra ACIS SB,1975AJ_____80___77W,no survey
NGC   685,GOODS: VLT VIMOS U,1975AJ_____80___77W,no survey
NGC   685,GOODS: VLT VIMOS R,1975AJ_____80___77W,no survey
NGC   685,GOODS: HST ACS B,1975AJ_____80___77W,no survey
NGC   685,GOODS: HST ACS V,1975AJ_____80___77W,no survey
NGC   685,GOODS: HST ACS I,1975AJ_____80___77W,no survey
NGC   685,GOODS: HST ACS Z,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF U,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF B,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF V0201,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF V0401,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF R,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF I,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF z,1975AJ_____80___77W,no survey
NGC   685,Hawaii HDF HK,1975AJ_____80___77W,no images
NGC   685,GOODS: HST NICMOS,1975AJ_____80___77W,no survey
NGC   685,GOODS: VLT ISAAC J,1975AJ_____80___77W,no survey
NGC   685,GOODS: VLT ISAAC H,1975AJ_____80___77W,no survey
NGC   685,GOODS: VLT ISAAC Ks,1975AJ_____80___77W,no survey
NGC   685,HUDF: VLT ISAAC Ks,1975AJ_____80___77W,no survey
NGC   685,GOODS: Spitzer IRAC 3.6,1975AJ_____80___77W,no survey
NGC   685,GOODS: Spitzer IRAC 4.5,1975AJ_____80___77W,no survey
NGC   685,GOODS: Spitzer IRAC 5.8,1975AJ_____80___77W,no survey
NGC   685,GOODS: Spitzer IRAC 8.0,1975AJ_____80___77W,no survey
NGC   685,GOODS: Spitzer MIPS 24,1975AJ_____80___77W,no survey
NGC   685,GOODS: Herschel 100,1975AJ_____80___77W,no survey
NGC   685,GOODS: Herschel 160,1975AJ_____80___77W,no survey
NGC   685,GOODS: Herschel 250,1975AJ_____80___77W,no survey
NGC   685,GOODS: Herschel 350,1975AJ_____80___77W,no survey
NGC   685,GOODS: Herschel 500,1975AJ_____80___77W,no survey
NGC   685,CDFS: LESS,1975AJ_____80___77W,no survey
NGC   685,GOODS: VLA North,1975AJ_____80___77W,no survey
