object,survey,pdf,reason
Cl* NGC 5286    ALC      63,Mellinger Red,1995AJ____109_1169A,exception
Cl* NGC 5286    ALC      63,Mellinger Green,1995AJ____109_1169A,exception
Cl* NGC 5286    ALC      63,Mellinger Blue,1995AJ____109_1169A,exception
Cl* NGC 5286    ALC      63,SHASSA H,1995AJ____109_1169A,no survey
Cl* NGC 5286    ALC      63,SHASSA CC,1995AJ____109_1169A,no survey
Cl* NGC 5286    ALC      63,SHASSA C,1995AJ____109_1169A,no survey
Cl* NGC 5286    ALC      63,SHASSA Sm,1995AJ____109_1169A,no survey
