object,survey,pdf,reason
Cl* NGC 2682     ES   IV-6,Mellinger Red,1991AJ____101__541G,exception
Cl* NGC 2682     ES   IV-6,Mellinger Green,1991AJ____101__541G,exception
Cl* NGC 2682     ES   IV-6,Mellinger Blue,1991AJ____101__541G,exception
Cl* NGC 2682     ES   IV-6,SHASSA H,1991AJ____101__541G,no survey
Cl* NGC 2682     ES   IV-6,SHASSA CC,1991AJ____101__541G,no survey
Cl* NGC 2682     ES   IV-6,SHASSA C,1991AJ____101__541G,no survey
Cl* NGC 2682     ES   IV-6,SHASSA Sm,1991AJ____101__541G,no survey
