object,survey,pdf,reason
HD 233622,GOODS: Chandra ACIS HB,1950ApJ___111__495P,no survey
HD 233622,GOODS: Chandra ACIS FB,1950ApJ___111__495P,no survey
HD 233622,GOODS: Chandra ACIS SB,1950ApJ___111__495P,no survey
HD 233622,GOODS: VLT VIMOS U,1950ApJ___111__495P,no survey
HD 233622,GOODS: VLT VIMOS R,1950ApJ___111__495P,no survey
HD 233622,GOODS: HST ACS B,1950ApJ___111__495P,no survey
HD 233622,GOODS: HST ACS V,1950ApJ___111__495P,no survey
HD 233622,GOODS: HST ACS I,1950ApJ___111__495P,no survey
HD 233622,GOODS: HST ACS Z,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF U,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF B,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF V0201,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF V0401,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF R,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF I,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF z,1950ApJ___111__495P,no survey
HD 233622,Hawaii HDF HK,1950ApJ___111__495P,no images
HD 233622,GOODS: HST NICMOS,1950ApJ___111__495P,no survey
HD 233622,GOODS: VLT ISAAC J,1950ApJ___111__495P,no survey
HD 233622,GOODS: VLT ISAAC H,1950ApJ___111__495P,no survey
HD 233622,GOODS: VLT ISAAC Ks,1950ApJ___111__495P,no survey
HD 233622,HUDF: VLT ISAAC Ks,1950ApJ___111__495P,no survey
HD 233622,GOODS: Spitzer IRAC 3.6,1950ApJ___111__495P,no survey
HD 233622,GOODS: Spitzer IRAC 4.5,1950ApJ___111__495P,no survey
HD 233622,GOODS: Spitzer IRAC 5.8,1950ApJ___111__495P,no survey
HD 233622,GOODS: Spitzer IRAC 8.0,1950ApJ___111__495P,no survey
HD 233622,GOODS: Spitzer MIPS 24,1950ApJ___111__495P,no survey
HD 233622,GOODS: Herschel 100,1950ApJ___111__495P,no survey
HD 233622,GOODS: Herschel 160,1950ApJ___111__495P,no survey
HD 233622,GOODS: Herschel 250,1950ApJ___111__495P,no survey
HD 233622,GOODS: Herschel 350,1950ApJ___111__495P,no survey
HD 233622,GOODS: Herschel 500,1950ApJ___111__495P,no survey
HD 233622,CDFS: LESS,1950ApJ___111__495P,no survey
HD 233622,GOODS: VLA North,1950ApJ___111__495P,no survey
