object,survey,pdf,reason
LB  3571,GOODS: Chandra ACIS HB,1982ApJ___255__245A,no survey
LB  3571,GOODS: Chandra ACIS FB,1982ApJ___255__245A,no survey
LB  3571,GOODS: Chandra ACIS SB,1982ApJ___255__245A,no survey
LB  3571,GOODS: VLT VIMOS U,1982ApJ___255__245A,no survey
LB  3571,GOODS: VLT VIMOS R,1982ApJ___255__245A,no survey
LB  3571,GOODS: HST ACS B,1982ApJ___255__245A,no survey
LB  3571,GOODS: HST ACS V,1982ApJ___255__245A,no survey
LB  3571,GOODS: HST ACS I,1982ApJ___255__245A,no survey
LB  3571,GOODS: HST ACS Z,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF U,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF B,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF V0201,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF V0401,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF R,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF I,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF z,1982ApJ___255__245A,no survey
LB  3571,Hawaii HDF HK,1982ApJ___255__245A,no images
LB  3571,GOODS: HST NICMOS,1982ApJ___255__245A,no survey
LB  3571,GOODS: VLT ISAAC J,1982ApJ___255__245A,no survey
LB  3571,GOODS: VLT ISAAC H,1982ApJ___255__245A,no survey
LB  3571,GOODS: VLT ISAAC Ks,1982ApJ___255__245A,no survey
LB  3571,HUDF: VLT ISAAC Ks,1982ApJ___255__245A,no survey
LB  3571,GOODS: Spitzer IRAC 3.6,1982ApJ___255__245A,no survey
LB  3571,GOODS: Spitzer IRAC 4.5,1982ApJ___255__245A,no survey
LB  3571,GOODS: Spitzer IRAC 5.8,1982ApJ___255__245A,no survey
LB  3571,GOODS: Spitzer IRAC 8.0,1982ApJ___255__245A,no survey
LB  3571,GOODS: Spitzer MIPS 24,1982ApJ___255__245A,no survey
LB  3571,GOODS: Herschel 100,1982ApJ___255__245A,no survey
LB  3571,GOODS: Herschel 160,1982ApJ___255__245A,no survey
LB  3571,GOODS: Herschel 250,1982ApJ___255__245A,no survey
LB  3571,GOODS: Herschel 350,1982ApJ___255__245A,no survey
LB  3571,GOODS: Herschel 500,1982ApJ___255__245A,no survey
LB  3571,CDFS: LESS,1982ApJ___255__245A,no survey
LB  3571,GOODS: VLA North,1982ApJ___255__245A,no survey
