object,survey,pdf,reason
V* CP Pup,GOODS: Chandra ACIS HB,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Chandra ACIS FB,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Chandra ACIS SB,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: VLT VIMOS U,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: VLT VIMOS R,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: HST ACS B,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: HST ACS V,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: HST ACS I,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: HST ACS Z,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF U,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF B,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF V0201,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF V0401,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF R,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF I,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF z,1993ApJ___412__278W,no survey
V* CP Pup,Hawaii HDF HK,1993ApJ___412__278W,no images
V* CP Pup,GOODS: HST NICMOS,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: VLT ISAAC J,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: VLT ISAAC H,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: VLT ISAAC Ks,1993ApJ___412__278W,no survey
V* CP Pup,HUDF: VLT ISAAC Ks,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Spitzer IRAC 3.6,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Spitzer IRAC 4.5,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Spitzer IRAC 5.8,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Spitzer IRAC 8.0,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Spitzer MIPS 24,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Herschel 100,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Herschel 160,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Herschel 250,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Herschel 350,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: Herschel 500,1993ApJ___412__278W,no survey
V* CP Pup,CDFS: LESS,1993ApJ___412__278W,no survey
V* CP Pup,GOODS: VLA North,1993ApJ___412__278W,no survey
