object,survey,pdf,reason
Cl* NGC 7419    BMD     340,Mellinger Red,1994ApJS___93__187B,exception
Cl* NGC 7419    BMD     340,Mellinger Green,1994ApJS___93__187B,exception
Cl* NGC 7419    BMD     340,Mellinger Blue,1994ApJS___93__187B,exception
Cl* NGC 7419    BMD     340,SHASSA H,1994ApJS___93__187B,no survey
Cl* NGC 7419    BMD     340,SHASSA CC,1994ApJS___93__187B,no survey
Cl* NGC 7419    BMD     340,SHASSA C,1994ApJS___93__187B,no survey
Cl* NGC 7419    BMD     340,SHASSA Sm,1994ApJS___93__187B,no survey
