object,survey,pdf,reason
Cl* NGC 7092   PLAT    1543,Mellinger Red,1994AJ____107_1796T,exception
Cl* NGC 7092   PLAT    1543,Mellinger Green,1994AJ____107_1796T,exception
Cl* NGC 7092   PLAT    1543,Mellinger Blue,1994AJ____107_1796T,exception
Cl* NGC 7092   PLAT    1543,SHASSA H,1994AJ____107_1796T,no survey
Cl* NGC 7092   PLAT    1543,SHASSA CC,1994AJ____107_1796T,no survey
Cl* NGC 7092   PLAT    1543,SHASSA C,1994AJ____107_1796T,no survey
Cl* NGC 7092   PLAT    1543,SHASSA Sm,1994AJ____107_1796T,no survey
