object,survey,pdf,reason
* del01 Tel,GOODS: Chandra ACIS HB,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Chandra ACIS FB,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Chandra ACIS SB,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: VLT VIMOS U,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: VLT VIMOS R,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: HST ACS B,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: HST ACS V,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: HST ACS I,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: HST ACS Z,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF U,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF B,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF V0201,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF V0401,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF R,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF I,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF z,1914ApJ____40___43K,no survey
* del01 Tel,Hawaii HDF HK,1914ApJ____40___43K,no images
* del01 Tel,GOODS: HST NICMOS,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: VLT ISAAC J,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: VLT ISAAC H,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: VLT ISAAC Ks,1914ApJ____40___43K,no survey
* del01 Tel,HUDF: VLT ISAAC Ks,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Spitzer IRAC 3.6,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Spitzer IRAC 4.5,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Spitzer IRAC 5.8,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Spitzer IRAC 8.0,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Spitzer MIPS 24,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Herschel 100,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Herschel 160,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Herschel 250,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Herschel 350,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: Herschel 500,1914ApJ____40___43K,no survey
* del01 Tel,CDFS: LESS,1914ApJ____40___43K,no survey
* del01 Tel,GOODS: VLA North,1914ApJ____40___43K,no survey
