object,survey,pdf,reason
Cl* NGC 5139    HHB    2527,Mellinger Red,1993AJ____105_1196H,exception
Cl* NGC 5139    HHB    2527,Mellinger Green,1993AJ____105_1196H,exception
Cl* NGC 5139    HHB    2527,Mellinger Blue,1993AJ____105_1196H,exception
Cl* NGC 5139    HHB    2527,SHASSA H,1993AJ____105_1196H,no survey
Cl* NGC 5139    HHB    2527,SHASSA CC,1993AJ____105_1196H,no survey
Cl* NGC 5139    HHB    2527,SHASSA C,1993AJ____105_1196H,no survey
Cl* NGC 5139    HHB    2527,SHASSA Sm,1993AJ____105_1196H,no survey
