object,survey,pdf,reason
Cl* Trumpler   14      Y     345,SUMSS 843 MHz,1993AJ____105_1822C,no survey
Cl* Trumpler   14      Y     345,0408MHz,1993AJ____105_1822C,no survey
Cl* Trumpler   14      Y     345,WENSS,1993AJ____105_1822C,no survey
Cl* Trumpler   14      Y     345,TGSS ADR1,1993AJ____105_1822C,no survey
Cl* Trumpler   14      Y     345,VLSSr,1993AJ____105_1822C,no survey
Cl* Trumpler   14      Y     345,0035MHz,1993AJ____105_1822C,no survey
Cl* Trumpler   14      Y     345,0022MHz,1993AJ____105_1822C,no survey
