object,survey,pdf,reason
V* V1370 Aql,GOODS: Chandra ACIS HB,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Chandra ACIS FB,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Chandra ACIS SB,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: VLT VIMOS U,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: VLT VIMOS R,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: HST ACS B,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: HST ACS V,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: HST ACS I,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: HST ACS Z,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF U,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF B,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF V0201,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF V0401,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF R,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF I,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF z,1992ApJ___394L__13S,no survey
V* V1370 Aql,Hawaii HDF HK,1992ApJ___394L__13S,no images
V* V1370 Aql,GOODS: HST NICMOS,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: VLT ISAAC J,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: VLT ISAAC H,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: VLT ISAAC Ks,1992ApJ___394L__13S,no survey
V* V1370 Aql,HUDF: VLT ISAAC Ks,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Spitzer IRAC 3.6,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Spitzer IRAC 4.5,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Spitzer IRAC 5.8,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Spitzer IRAC 8.0,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Spitzer MIPS 24,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Herschel 100,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Herschel 160,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Herschel 250,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Herschel 350,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: Herschel 500,1992ApJ___394L__13S,no survey
V* V1370 Aql,CDFS: LESS,1992ApJ___394L__13S,no survey
V* V1370 Aql,GOODS: VLA North,1992ApJ___394L__13S,no survey
