object,survey,pdf,reason
Cl* NGC 3293    BVC     150,Mellinger Red,1980AJ_____85_1193T,exception
Cl* NGC 3293    BVC     150,Mellinger Green,1980AJ_____85_1193T,exception
Cl* NGC 3293    BVC     150,Mellinger Blue,1980AJ_____85_1193T,exception
Cl* NGC 3293    BVC     150,SHASSA H,1980AJ_____85_1193T,no survey
Cl* NGC 3293    BVC     150,SHASSA CC,1980AJ_____85_1193T,no survey
Cl* NGC 3293    BVC     150,SHASSA C,1980AJ_____85_1193T,no survey
Cl* NGC 3293    BVC     150,SHASSA Sm,1980AJ_____85_1193T,no survey
