object,survey,pdf,reason
* del Vir,GOODS: Chandra ACIS HB,1917ApJ____46__313A,no survey
* del Vir,GOODS: Chandra ACIS FB,1917ApJ____46__313A,no survey
* del Vir,GOODS: Chandra ACIS SB,1917ApJ____46__313A,no survey
* del Vir,GOODS: VLT VIMOS U,1917ApJ____46__313A,no survey
* del Vir,GOODS: VLT VIMOS R,1917ApJ____46__313A,no survey
* del Vir,GOODS: HST ACS B,1917ApJ____46__313A,no survey
* del Vir,GOODS: HST ACS V,1917ApJ____46__313A,no survey
* del Vir,GOODS: HST ACS I,1917ApJ____46__313A,no survey
* del Vir,GOODS: HST ACS Z,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF U,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF B,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF V0201,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF V0401,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF R,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF I,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF z,1917ApJ____46__313A,no survey
* del Vir,Hawaii HDF HK,1917ApJ____46__313A,no images
* del Vir,GOODS: HST NICMOS,1917ApJ____46__313A,no survey
* del Vir,GOODS: VLT ISAAC J,1917ApJ____46__313A,no survey
* del Vir,GOODS: VLT ISAAC H,1917ApJ____46__313A,no survey
* del Vir,GOODS: VLT ISAAC Ks,1917ApJ____46__313A,no survey
* del Vir,HUDF: VLT ISAAC Ks,1917ApJ____46__313A,no survey
* del Vir,GOODS: Spitzer IRAC 3.6,1917ApJ____46__313A,no survey
* del Vir,GOODS: Spitzer IRAC 4.5,1917ApJ____46__313A,no survey
* del Vir,GOODS: Spitzer IRAC 5.8,1917ApJ____46__313A,no survey
* del Vir,GOODS: Spitzer IRAC 8.0,1917ApJ____46__313A,no survey
* del Vir,GOODS: Spitzer MIPS 24,1917ApJ____46__313A,no survey
* del Vir,GOODS: Herschel 100,1917ApJ____46__313A,no survey
* del Vir,GOODS: Herschel 160,1917ApJ____46__313A,no survey
* del Vir,GOODS: Herschel 250,1917ApJ____46__313A,no survey
* del Vir,GOODS: Herschel 350,1917ApJ____46__313A,no survey
* del Vir,GOODS: Herschel 500,1917ApJ____46__313A,no survey
* del Vir,CDFS: LESS,1917ApJ____46__313A,no survey
* del Vir,GOODS: VLA North,1917ApJ____46__313A,no survey
