object,survey,pdf,reason
HD  24479,GOODS: Chandra ACIS HB,1954ApJ___119__146S,no survey
HD  24479,GOODS: Chandra ACIS FB,1954ApJ___119__146S,no survey
HD  24479,GOODS: Chandra ACIS SB,1954ApJ___119__146S,no survey
HD  24479,GOODS: VLT VIMOS U,1954ApJ___119__146S,no survey
HD  24479,GOODS: VLT VIMOS R,1954ApJ___119__146S,no survey
HD  24479,GOODS: HST ACS B,1954ApJ___119__146S,no survey
HD  24479,GOODS: HST ACS V,1954ApJ___119__146S,no survey
HD  24479,GOODS: HST ACS I,1954ApJ___119__146S,no survey
HD  24479,GOODS: HST ACS Z,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF U,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF B,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF V0201,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF V0401,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF R,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF I,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF z,1954ApJ___119__146S,no survey
HD  24479,Hawaii HDF HK,1954ApJ___119__146S,no images
HD  24479,GOODS: HST NICMOS,1954ApJ___119__146S,no survey
HD  24479,GOODS: VLT ISAAC J,1954ApJ___119__146S,no survey
HD  24479,GOODS: VLT ISAAC H,1954ApJ___119__146S,no survey
HD  24479,GOODS: VLT ISAAC Ks,1954ApJ___119__146S,no survey
HD  24479,HUDF: VLT ISAAC Ks,1954ApJ___119__146S,no survey
HD  24479,GOODS: Spitzer IRAC 3.6,1954ApJ___119__146S,no survey
HD  24479,GOODS: Spitzer IRAC 4.5,1954ApJ___119__146S,no survey
HD  24479,GOODS: Spitzer IRAC 5.8,1954ApJ___119__146S,no survey
HD  24479,GOODS: Spitzer IRAC 8.0,1954ApJ___119__146S,no survey
HD  24479,GOODS: Spitzer MIPS 24,1954ApJ___119__146S,no survey
HD  24479,GOODS: Herschel 100,1954ApJ___119__146S,no survey
HD  24479,GOODS: Herschel 160,1954ApJ___119__146S,no survey
HD  24479,GOODS: Herschel 250,1954ApJ___119__146S,no survey
HD  24479,GOODS: Herschel 350,1954ApJ___119__146S,no survey
HD  24479,GOODS: Herschel 500,1954ApJ___119__146S,no survey
HD  24479,CDFS: LESS,1954ApJ___119__146S,no survey
HD  24479,GOODS: VLA North,1954ApJ___119__146S,no survey
