object,survey,pdf,reason
[VV2006] J121519.4+424850,Mellinger Red,1995ApJS___98___41P,exception
[VV2006] J121519.4+424850,Mellinger Green,1995ApJS___98___41P,exception
[VV2006] J121519.4+424850,Mellinger Blue,1995ApJS___98___41P,exception
[VV2006] J121519.4+424850,SHASSA H,1995ApJS___98___41P,no survey
[VV2006] J121519.4+424850,SHASSA CC,1995ApJS___98___41P,no survey
[VV2006] J121519.4+424850,SHASSA C,1995ApJS___98___41P,no survey
[VV2006] J121519.4+424850,SHASSA Sm,1995ApJS___98___41P,no survey
