object,otype,majaxis_arcmin,minaxis_arcmin
* alf Col,Be*,,
* alf Com A,PM*,,
* alf CrB,SB*,,
* alf Crv,PM*,,
* alf Cyg,sg*,,
* alf Del,**,,
* alf Dra,SB*,,
* alf Equ,SB*,,
* alf Eri,Be*,,
* alf Gem B,SB*,,
* alf Gru,PM*,,
* alf Her B,SB*,,
* alf Hya,*,,
* alf Lac,PM*,,
* alf Leo,PM*,,
* alf Lep,*,,
* alf Lup,bC*,,
* alf Lyr,dS*,,
* alf Mon,PM*,,
* alf Ori,s*r,,
* alf Peg,PM*,,
* alf Per,V*,,
* alf PsA,PM*,0.212,0.0
* alf Psc,a2*,,
* alf Psc B,*,,
* alf Pyx,*,,
* alf Scl,*,,
* alf Sco,s*r,,
* alf Sco B,Em*,,
* alf Sct,PM*,,
* alf Ser,PM*,,
* alf Sex,*,,
* alf Sge,*,,
* alf Tau,LP?,,
* alf Tri,SB*,,
* alf UMa,SB*,,
* alf Vir,bC*,,
* alf Vul,PM*,,
* alf01 CVn,PM*,,
* alf01 Cap,**,,
* alf02 CVn,a2*,,
* alf02 Cru,*,,
* b And,SB*,,
* b Aql,PM*,,
* b Eri,**,,
* b Leo,Pe*,,
* b Tau,PM*,,
* b Vel,s*y,,
* b01 Aqr,PM*,,
* b01 Car,bC*,,
* b02 Cyg,Be*,,
* b03 Hya,PM*,,
* bet And,PM*,,
* bet Ari,SB*,,
* bet CMa,bC*,,
* bet CMi,Be*,,
* bet CVn,**,,
* bet Cae,PM*,,
* bet Cam,*,,
* bet Car,PM*,,
* bet Cas,dS*,,
* bet Cep,bC*,,
* bet Cet,PM*,,
* bet Cnc,PM*,,
* bet Com,PM*,,
* bet CrB,a2*,,
* bet Dra,*,,
* bet Eri,PM*,,
* bet Gem,PM*,,
* bet Gru,LP?,,
* bet Her,SB*,,
* bet Hyi,PM*,,
* bet Lac,**,0.0033,0.0
* bet Leo,dS*,,
* bet Lib,PM*,,
* bet Lup,**,,
* bet Lyr,SB*,,
* bet Mon,**,,
* bet Mon A,Be*,,
* bet Mon B,*,,
* bet Oph,PM*,,
* bet Ori,s*b,,
* bet Peg,LP*,,
* bet Per,SB*,0.0167,0.0
* bet Pic,PM*,,
* bet Psc,Be*,,
* bet Pyx,*,,
* bet Scl,PM*,,
* bet Sex,a2*,,
* bet UMa,PM*,,
* bet UMi,*,,
* bet Vir,PM*,,
* bet01 Cyg,**,,
* bet01 Sco,bC*,,
* bet02 Cyg,Be*,,
* bet02 Sco,SB*,,
* c Boo,PM*,,
* c Gem,*,,
* c Her,**,,
* c Ori,Y*O,,
* c Per,Be*,,
* c Vir,RG*,,
* chi Car,bC*,,
* chi Cnc,PM*,,
* chi Cyg,S*,,
* chi Dra,SB*,,
* chi Her,PM*,,
* chi Leo,PM*,,
* chi Lup,SB*,,
* chi Oph,Be*,,
* chi Peg,PM*,,
* chi Pup,*,,
* chi Ser,a2*,,
* chi Vir,**,,
* chi01 Ori,SB*,,
* chi02 Ori,s*b,,
* d Boo,SB*,,
* d Dra,*,,
* d Lup,Be*,,
* d Oph,PM*,,
* d Sco,PM*,,
* del And,SB*,,
* del Aql,**,,
* del Aqr,PM*,,
* del Aur,SB*,,
* del CMa,s*y,,
* del Cet,bC*,,
* del Col,SB*,,
* del Crt,PM*,,
* del Cyg,PM*,,
* del Del,dS*,,
* del Gem,SB*,0.093,0.0
* del Hyi,PM*,,
* del Ind,**,0.0017,0.0
* del Lep,PM*,,
* del Lup,bC*,,
* del Oph,PM*,,
* del Ori,**,,
* del Per,Be*,,
* del Sco,SB*,0.0033,0.0
* del Sct,dS*,,
* del Tau,SB*,,
* del Tri,SB*,,
* del UMa,PM*,,
* del Vir,RG*,,
* del Vol,*,,
* del01 Tel,SB*,,
* del02 Ori,SB*,,
* del02 Tau,PM*,,
* del03 Tau,a2*,,
* e Cyg,*,,
* e Eri,PM*,,
* e Gem,PM*,,
* e Lup,SB*,,
* e Oph,PM*,,
* e Ori,*,,
* e Tau,Pu*,,
* e UMa,dS*,,
* e01 Sgr,PM*,,
* eps And,PM*,,
* eps Aps,Be*,,
* eps Aqr,*,,
* eps Ari A,*,,
* eps Ari B,*,,
* eps Aur,SB*,,
* eps Boo,PM*,,
* eps CMa,*,,
* eps Cap,Be*,,
* eps Cep,SB*,,
* eps Cyg,**,,
* eps Dra,PM*,,
* eps Eri,BY*,,
* eps Gem,*,,
* eps Her,SB*,,
* eps Hya C,SB*,,
* eps Leo,*,,
* eps Lep,PM*,,
* eps Mon A,*,,
* eps Nor,SB*,,
* eps Ori,s*b,,
* eps Pav,PM*,,
* eps Peg,LP*,,
* eps Per,bC*,,
* eps Psc,PM*,0.005,0.0
* eps Sex,PM*,,
* eps Tau,**,,
* eps UMa,a2*,,
* eps Vir,PM*,,
* eta CMa,s*b,,
* eta Cap,**,0.0067,0.0
* eta Car,s*b,,
* eta Cas,PM*,,
* eta Cen,Be*,,
* eta Cep,PM*,,
* eta CrB A,*,,
* eta Cru,SB*,,
* eta Cyg,*,,
* eta Gem,RG*,,
* eta Her,PM*,,
* eta Hya,bC*,,
* eta Lep,PM*,,
* eta Oph,**,,
* eta Ori,bC*,,
* eta Per,*,,
* eta Psc,**,0.01,0.0
* eta Scl,LP*,,
* eta Sco,PM*,,
* eta Sct,PM*,,
* eta Ser,PM*,,
* eta Tau,Be*,,
* eta UMa,PM*,,
* f Car,Be*,,
* f Cen,Pu*,,
* f UMa,PM*,,
* f01 Cyg,Be*,,
* f01 Ori,Be*,,
