object,otype,majaxis_arcmin,minaxis_arcmin
Cl* IC  361     PS     401,*,,
Cl* IC 2602      A      G,WD*,,
Cl* IC 2602      A     205,*,,
Cl* IC 4499     FL      16,RR*,,
Cl* IC 4499    SBS       4,SX*,,
Cl* IC 4651    AMC    2101,*,,
Cl* IC 4651    AMC    2106,*,,
Cl* IC 4651    AMC    2109,*,,
Cl* IC 4651    AMC    3201,*,,
Cl* IC 4651    AMC    3207,*,,
Cl* IC 4651    AMC    3208,*,,
Cl* IC 4651    AMC    4202,*,,
Cl* IC 4651    AMC    I-88,*,,
Cl* IC 4651    MEI    6891,*,,
Cl* IC 4651    MEI    7104,*,,
Cl* IC 4651    MEI    7834,*,,
Cl* IC 4651    MEI    7921,*,,
Cl* IC 4651    MEI    8430,*,,
Cl* IC 4651    MEI    8804,*,,
Cl* IC 4651    MEI    8820,*,,
Cl* IC 4651    MEI    9258,*,,
Cl* IC 4651    MEI   10375,*,,
Cl* IC 4651    MEI   10379,*,,
Cl* IC 4651    MEI   10970,*,,
Cl* IC 4651    MEI   11195,*,,
Cl* IC 4651    MEI   11538,*,,
Cl* IC 4651    MEI   11810,*,,
Cl* IC 5146      W V14,Or*,,
Cl* Melotte   20     AP     129,Y*O,,
Cl* Melotte   20     AP     143,**,,
Cl* Melotte   20     AP     162,*,,
Cl* Melotte   20     AP     165,LM*,,
Cl* Melotte   20     AP     173,Y*O,,
Cl* Melotte   20     AP     190,*,,
Cl* Melotte   20     AP     214,*,,
Cl* Melotte   20     AP     239,*,,
Cl* Melotte   20     AP     280,*,,
Cl* Melotte   20     AP     285,*,,
Cl* Melotte   22     DH     338,Er*,,
Cl* Melotte   22     DH     484,Er*,,
Cl* Melotte   22     SK     488,Er*,,
Cl* Melotte   22    ALR     928,*,,
Cl* Melotte   22    HHJ     292,Er*,,
Cl* Melotte   22    PPL       1,LM*,,
Cl* Melotte   22    PPL       2,*,,
Cl* Melotte   25     LH       4,PM*,,
Cl* Melotte   25     LH     123,PM*,,
Cl* Melotte   25     LH     136,PM*,,
Cl* Melotte   25     LH     169,Em*,,
Cl* Melotte   25     LH     197,PM*,,
Cl* Melotte   25     LH     199,PM*,,
Cl* Melotte   25     LH     237,*,,
Cl* Melotte   25     LH     262,PM*,,
Cl* Melotte   25     OS     918,PM*,,
Cl* Melotte   25     VA       1,PM*,,
Cl* Melotte   25     VA      11,PM*,,
Cl* Melotte   25     VA      17,*,,
Cl* Melotte   25     VA      31,*,,
Cl* Melotte   25     VA      34,PM*,,
Cl* Melotte   25     VA      37,*,,
Cl* Melotte   25     VA      39,PM*,,
Cl* Melotte   25     VA      46,**,,
Cl* Melotte   25     VA      55,**,,
Cl* Melotte   25     VA      61,PM*,,
Cl* Melotte   25     VA      78,PM*,,
Cl* Melotte   25     VA      86,PM*,,
Cl* Melotte   25     VA     104,*,,
Cl* Melotte   25     VA     120,PM*,,
Cl* Melotte   25     VA     132,*,,
Cl* Melotte   25     VA     140,PM*,,
Cl* Melotte   25     VA     143,*,,
Cl* Melotte   25     VA     145,*,,
Cl* Melotte   25     VA     155,PM*,,
Cl* Melotte   25     VA     158,*,,
Cl* Melotte   25     VA     159,*,,
Cl* Melotte   25     VA     198,*,,
Cl* Melotte   25     VA     210,PM*,,
Cl* Melotte   25     VA     212,PM*,,
Cl* Melotte   25     VA     241,PM*,,
Cl* Melotte   25     VA     247,PM*,,
Cl* Melotte   25     VA     261,PM*,,
Cl* Melotte   25     VA     264,*,,
Cl* Melotte   25     VA     267,PM*,,
Cl* Melotte   25     VA     286,PM*,,
Cl* Melotte   25     VA     291,*,,
Cl* Melotte   25     VA     295,*,,
Cl* Melotte   25     VA     309,PM*,,
Cl* Melotte   25     VA     314,PM*,,
Cl* Melotte   25     VA     350,PM*,,
Cl* Melotte   25     VA     364,PM*,,
Cl* Melotte   25     VA     385,*,,
Cl* Melotte   25     VA     396,*,,
Cl* Melotte   25     VA     410,Em*,,
Cl* Melotte   25     VA     412,PM*,,
Cl* Melotte   25     VA     415,*,,
Cl* Melotte   25     VA     421,*,,
Cl* Melotte   25     VA     423,*,,
Cl* Melotte   25     VA     425,PM*,,
Cl* Melotte   25     VA     437,*,,
Cl* Melotte   25     VA     438,*,,
Cl* Melotte   25     VA     443,*,,
Cl* Melotte   25     VA     445,PM*,,
Cl* Melotte   25     VA     456,*,,
Cl* Melotte   25     VA     461,PM*,,
Cl* Melotte   25     VA     463,*,,
Cl* Melotte   25     VA     464,*,,
Cl* Melotte   25     VA     465,**,,
Cl* Melotte   25     VA     468,*,,
Cl* Melotte   25     VA     470,PM*,,
Cl* Melotte   25     VA     482,PM*,,
Cl* Melotte   25     VA     499,*,,
Cl* Melotte   25     VA     514,PM*,,
Cl* Melotte   25     VA     534,*,,
Cl* Melotte   25     VA     539,*,,
Cl* Melotte   25     VA     540,*,,
Cl* Melotte   25     VA     558,*,,
Cl* Melotte   25     VA     563,*,,
Cl* Melotte   25     VA     565,PM*,,
Cl* Melotte   25     VA     579,PM*,,
Cl* Melotte   25     VA     580,*,,
Cl* Melotte   25     VA     585,*,,
Cl* Melotte   25     VA     592,*,,
Cl* Melotte   25     VA     598,*,,
Cl* Melotte   25     VA     621,PM*,,
Cl* Melotte   25     VA     623,PM*,,
Cl* Melotte   25     VA     631,*,,
Cl* Melotte   25     VA     636,*,,
Cl* Melotte   25     VA     642,*,,
Cl* Melotte   25     VA     646,*,,
Cl* Melotte   25     VA     653,*,,
Cl* Melotte   25     VA     661,*,,
Cl* Melotte   25     VA     664,*,,
Cl* Melotte   25     VA     665,*,,
Cl* Melotte   25     VA     667,PM*,,
Cl* Melotte   25     VA     669,*,,
Cl* Melotte   25     VA     681,PM*,,
Cl* Melotte   25     VA     686,PM*,,
Cl* Melotte   25     VA     689,*,,
Cl* Melotte   25     VA     706,PM*,,
Cl* Melotte   25     VA     716,*,,
Cl* Melotte   25     VA     717,*,,
Cl* Melotte   25     VA     718,PM*,,
Cl* Melotte   25     VA     719,*,,
Cl* Melotte   25     VA     732,*,,
Cl* Melotte   25     VA     734,*,,
Cl* Melotte   25     VA     737,*,,
Cl* Melotte   25     VA     745,*,,
Cl* Melotte   25     VA     746,*,,
Cl* Melotte   25     VA     755,PM*,,
Cl* Melotte   25     VA     756,*,,
Cl* Melotte   25     VA     758,PM*,,
Cl* Melotte   25     VA     763,PM*,,
Cl* Melotte   25     VA     768,PM*,,
Cl* Melotte   25     VA     776,PM*,,
Cl* Melotte   25     VR       1,PM*,,
Cl* Melotte   25     VR       6,PM*,,
Cl* Melotte   25     VR       8,PM*,,
Cl* Melotte   25    DKJ     692d,LM*,,
Cl* Melotte   25    HAN     145,PM*,,
Cl* Melotte   25  REIDA     306,*,,
Cl* NGC  104     HH    2026,*,,
Cl* NGC  104     HH    9055,*,,
Cl* NGC  104    DPF    1206,*,,
Cl* NGC  104    LEE    3708,RG*,,
Cl* NGC  104    LEE    5406,*,,
Cl* NGC  104    LEE    5642,*,,
Cl* NGC  104    LEE    5644,*,,
Cl* NGC  104    LEE    6527,*,,
Cl* NGC  104    LEE    6602,*,,
Cl* NGC  104    LEE    6604,*,,
Cl* NGC  104    SAW V2,AB*,,
Cl* NGC  129     SS     190,PM*,,
Cl* NGC  129     SS     195,*,,
Cl* NGC  129     SS     333,*,,
Cl* NGC  129     SS     469,*,,
Cl* NGC  129     SS     482,*,,
Cl* NGC  129    HAR      65,*,,
Cl* NGC  188     MT       8,*,,
Cl* NGC  188     MT      54,*,,
Cl* NGC  188    DGV     233,*,,
Cl* NGC  188    DGV     921,*,,
Cl* NGC  188    DGV    1607,HB*,,
Cl* NGC  188    SMV   11152,HB*,,
Cl* NGC  288    ALC       4,*,,
Cl* NGC  288    ALC       7,*,,
Cl* NGC  288    ALC      20,*,,
Cl* NGC  288    ALC     213,RG*,,
Cl* NGC  288    SAN       1,HS?,,
Cl* NGC  288    SAN      24,*,,
Cl* NGC  288    SAN      28,HB*,,
Cl* NGC  330    ARP      16,s*b,,
Cl* NGC  330    ARP      27,Be*,,
Cl* NGC  330    ARP      31,*,,
Cl* NGC  330    ARP      44,Be*,,
Cl* NGC  330    ROB B26,*,,
Cl* NGC  346    ELS       7,*,,
Cl* NGC  346    ELS      98,*,,
Cl* NGC  346    MPG      15,*,,
Cl* NGC  346    MPG      16,*,,
Cl* NGC  346    MPG      24,*,,
Cl* NGC  346    MPG      25,*,,
Cl* NGC  346    MPG      29,*,,
Cl* NGC  346    MPG      31,*,,
Cl* NGC  346    MPG      32,*,,
Cl* NGC  346    MPG      37,*,,
Cl* NGC  346    MPG      53,*,,
Cl* NGC  346    MPG      56,*,,
Cl* NGC  346    MPG      66,*,,
Cl* NGC  346    MPG      74,*,,
Cl* NGC  346    MPG      78,*,,
Cl* NGC  346    MPG     106,*,,
Cl* NGC  346    MPG     107,*,,
Cl* NGC  346    MPG     110,*,,
Cl* NGC  346    MPG     117,*,,
Cl* NGC  346    MPG     139,*,,
Cl* NGC  346    MPG     157,*,,
Cl* NGC  346    MPG     163,*,,
Cl* NGC  346    MPG     164,*,,
Cl* NGC  346    MPG     166,*,,
Cl* NGC  346    MPG     169,*,,
Cl* NGC  346    MPG     210,*,,
Cl* NGC  346    MPG     214,*,,
Cl* NGC  346    MPG     225,*,,
Cl* NGC  346    MPG     226,*,,
Cl* NGC  346    MPG     229,*,,
Cl* NGC  346    MPG     241,*,,
Cl* NGC  346    MPG     245,*,,
Cl* NGC  346    MPG     258,*,,
Cl* NGC  346    MPG     261,*,,
Cl* NGC  346    MPG     271,*,,
Cl* NGC  346    MPG     281,*,,
Cl* NGC  346    MPG     288,*,,
Cl* NGC  346    MPG     297,*,,
Cl* NGC  346    MPG     309,*,,
Cl* NGC  346    MPG     322,*,,
Cl* NGC  346    MPG     323,*,,
Cl* NGC  346    MPG     328,*,,
Cl* NGC  346    MPG     329,*,,
Cl* NGC  346    MPG     340,*,,
Cl* NGC  346    MPG     345,RB?,,
Cl* NGC  346    MPG     360,*,,
Cl* NGC  346    MPG     393,*,,
Cl* NGC  346    MPG     399,*,,
Cl* NGC  346    MPG     405,*,,
Cl* NGC  346    MPG     406,*,,
Cl* NGC  346    MPG     425,*,,
Cl* NGC  346    MPG     451,*,,
Cl* NGC  346    MPG     468,*,,
Cl* NGC  346    MPG     489,*,,
Cl* NGC  346    MPG     515,*,,
Cl* NGC  346    MPG     521,*,,
Cl* NGC  346    MPG     539,*,,
Cl* NGC  346    MPG     542,*,,
Cl* NGC  346    MPG     544,*,,
Cl* NGC  346    MPG     547,*,,
Cl* NGC  346    MPG     561,*,,
Cl* NGC  346    MPG     583,*,,
Cl* NGC  346    MPG     588,*,,
Cl* NGC  346    MPG     599,*,,
Cl* NGC  346    MPG     600,*,,
Cl* NGC  346    MPG     609,*,,
Cl* NGC  346    MPG     610,*,,
Cl* NGC  346    MPG     624,*,,
Cl* NGC  346    MPG     635,*,,
Cl* NGC  346    MPG     647,*,,
Cl* NGC  346    MPG     663,*,,
Cl* NGC  346    MPG     664,*,,
Cl* NGC  346    MPG     672,*,,
Cl* NGC  346    MPG     683,*,,
Cl* NGC  346    MPG     699,*,,
Cl* NGC  346    MPG     710,*,,
Cl* NGC  346    MPG     719,*,,
Cl* NGC  346    MPG     727,Em*,,
Cl* NGC  346    MPG     737,*,,
Cl* NGC  346    MPG     738,*,,
Cl* NGC  346    MPG     752,*,,
Cl* NGC  346    MPG     757,*,,
Cl* NGC  346    MPG     763,*,,
Cl* NGC  346    MPG     773,*,,
Cl* NGC  346    MPG     790,*,,
Cl* NGC  346    MPG     795,*,,
Cl* NGC  346    MPG     800,*,,
Cl* NGC  346    MPG     801,*,,
Cl* NGC  346    MPG     808,*,,
Cl* NGC  346    MPG     811,Ev*,,
Cl* NGC  346    MPG     820,*,,
Cl* NGC  346    MPG     822,*,,
Cl* NGC  346    MPG     827,*,,
Cl* NGC  346    MPG     830,*,,
Cl* NGC  346    MPG     835,*,,
Cl* NGC  346    MPG     836,*,,
Cl* NGC  346    MPG     840,*,,
Cl* NGC  346    MPG     846,*,,
Cl* NGC  346    MPG     851,*,,
Cl* NGC  346    MPG     854,*,,
Cl* NGC  346    NMC      10,*,,
Cl* NGC  346    NMC      24,*,,
Cl* NGC  346    NMC      35,*,,
Cl* NGC  346    SSN       7,s*b,,
Cl* NGC  361    ARP    I-45,AB*,,
Cl* NGC  361   AAWL      B,*,,
Cl* NGC  362    HAR    1356,RG*,,
Cl* NGC  419    ARP    V-39,C*,,
Cl* NGC  663      L     513,*,,
Cl* NGC  663     MH      14,*,,
Cl* NGC  663     MH      18,*,,
Cl* NGC  663     MH      60,*,,
Cl* NGC  663     MH      63,*,,
Cl* NGC  663     MH      64,*,,
Cl* NGC  663     MH      78,*,,
Cl* NGC  663     MV    4354,*,,
Cl* NGC  663     MV   24012,*,,
Cl* NGC  663     MV   24015,*,,
Cl* NGC  663     MV   32071,*,,
Cl* NGC  663     MV   33014,*,,
Cl* NGC  663     MV   33031,*,,
Cl* NGC  663     MV   33038,*,,
Cl* NGC  663     MV   33086,*,,
Cl* NGC  663     MV   33100,*,,
Cl* NGC  663     MV   33105,*,,
Cl* NGC  663     MV   34015,*,,
Cl* NGC  663     MV   34026,*,,
Cl* NGC  663     MV   43059,*,,
Cl* NGC  663     MV   44004,*,,
Cl* NGC  663     MV   44028,*,,
Cl* NGC  663     PJ    1068,*,,
Cl* NGC  663     PJ    1879,*,,
Cl* NGC  869      W     102,*,,
Cl* NGC  869      W     221,*,,
Cl* NGC  869      W     230,*,,
Cl* NGC  869      W     293,*,,
Cl* NGC 1039      A   45149,*,,
Cl* NGC 1039     IS     142,*,,
Cl* NGC 1039     IS     182,*,,
Cl* NGC 1039     IS     220,*,,
Cl* NGC 1039     IS     233,*,,
Cl* NGC 1039     IS     245,*,,
Cl* NGC 1039     IS     250,*,,
Cl* NGC 1039     IS     256,*,,
Cl* NGC 1039     IS     267,*,,
Cl* NGC 1039     JP     140,*,,
Cl* NGC 1466      P      E,*,,
Cl* NGC 1466   WALK     289,*,,
Cl* NGC 1466   WALK     451,*,,
Cl* NGC 1851    ABK X2 b,*,,
Cl* NGC 1851    PML       2,HB*,,
Cl* NGC 1851    PML       5,RG*,,
Cl* NGC 1851    PML       8,HB*,,
Cl* NGC 1851    PML      12,*,,
Cl* NGC 1851    PML      13,*,,
Cl* NGC 1851    PML      15,RG*,,
Cl* NGC 1851    PML      21,*,,
Cl* NGC 1851    PML      43,HB*,,
Cl* NGC 1866      W    1897,*,,
Cl* NGC 1866      W    1898,*,,
Cl* NGC 1866      W    2613,*,,
Cl* NGC 1866      W    4105,*,,
Cl* NGC 1866      W    4155,*,,
Cl* NGC 1866      W    4592,*,,
Cl* NGC 1866    ARP      H,*,,
Cl* NGC 1978     LE      11,*,,
Cl* NGC 2070     MH      10,*,,
Cl* NGC 2070     MH      12,*,,
Cl* NGC 2070     MH      15,*,,
Cl* NGC 2070     MH      17,*,,
Cl* NGC 2070     MH      21,*,,
Cl* NGC 2070     MH      24,*,,
Cl* NGC 2070     MH      28,*,,
Cl* NGC 2070     MH      35,*,,
Cl* NGC 2070     MH      48,*,,
Cl* NGC 2070     MH      54,*,,
Cl* NGC 2070     MH      55,*,,
Cl* NGC 2070     MH      57,s*b,,
Cl* NGC 2070     MH      77,*,,
Cl* NGC 2070     MH      78,*,,
Cl* NGC 2070     MH      79,*,,
Cl* NGC 2070     MH      85,Be?,,
Cl* NGC 2070     MH      88,*,,
Cl* NGC 2070     MH      89,*,,
Cl* NGC 2070     MH     100,*,,
Cl* NGC 2070     MH     111,*,,
Cl* NGC 2070     MH     116,*,,
Cl* NGC 2070     MH     124,*,,
Cl* NGC 2070     MH     127,*,,
Cl* NGC 2070     MH     145,*,,
Cl* NGC 2070     MH     146,*,,
Cl* NGC 2070     MH     153,*,,
Cl* NGC 2070     MH     169,*,,
Cl* NGC 2070     MH     178,*,,
Cl* NGC 2070     MH     179,*,,
Cl* NGC 2070     MH     186,*,,
Cl* NGC 2070     MH     192,*,,
Cl* NGC 2070     MH     198,*,,
Cl* NGC 2070     MH     206,*,,
Cl* NGC 2070     MH     215,*,,
Cl* NGC 2070     MH     222,*,,
Cl* NGC 2070     MH     225,*,,
Cl* NGC 2070     MH     235,*,,
Cl* NGC 2070     MH     250,*,,
Cl* NGC 2070     MH     264,*,,
Cl* NGC 2070     MH     269,*,,
Cl* NGC 2070     MH     301,*,,
Cl* NGC 2070     MH     306,*,,
Cl* NGC 2070     MH     310,*,,
Cl* NGC 2070     MH     324,*,,
Cl* NGC 2070     MH     337,*,,
Cl* NGC 2070     MH     348,*,,
Cl* NGC 2070     MH     349,*,,
Cl* NGC 2070     MH     356,*,,
Cl* NGC 2070     MH     361,*,,
Cl* NGC 2070     MH     367,*,,
Cl* NGC 2070     MH     373,*,,
Cl* NGC 2070     MH     401,*,,
Cl* NGC 2070     MH     403,*,,
Cl* NGC 2070     MH     415,*,,
Cl* NGC 2070     MH     417,*,,
Cl* NGC 2070     MH     420,*,,
Cl* NGC 2070     MH     423,*,,
Cl* NGC 2070     MH     428,*,,
Cl* NGC 2070     MH     435,*,,
Cl* NGC 2070     MH     465,*,,
Cl* NGC 2070     MH     470,*,,
Cl* NGC 2070     MH     475,*,,
Cl* NGC 2070     MH     477,*,,
Cl* NGC 2070     MH     480,*,,
Cl* NGC 2070     MH     483,*,,
Cl* NGC 2070     MH     491,*,,
Cl* NGC 2070     MH     492,*,,
Cl* NGC 2070     MH     494,*,,
Cl* NGC 2070     MH     512,*,,
Cl* NGC 2070     MH     527,*,,
Cl* NGC 2070     MH     535,*,,
Cl* NGC 2070     MH     538,*,,
Cl* NGC 2070     MH     540,*,,
Cl* NGC 2070     MH     542,*,,
Cl* NGC 2070     MH     543,*,,
Cl* NGC 2070     MH     545,*,,
Cl* NGC 2070     MH     563,*,,
Cl* NGC 2070     MH     564,*,,
Cl* NGC 2070     MH     603,*,,
Cl* NGC 2070     MH     606,*,,
Cl* NGC 2070     MH     609,*,,
Cl* NGC 2070     MH     621,*,,
Cl* NGC 2070     MH     626,*,,
Cl* NGC 2070     MH     627,*,,
Cl* NGC 2070     MH     633,*,,
Cl* NGC 2070     MH     642,*,,
Cl* NGC 2070     MH     644,*,,
Cl* NGC 2070     MH     663,*,,
Cl* NGC 2070     MH     672,*,,
Cl* NGC 2070     MH     680,*,,
Cl* NGC 2070     MH     683,*,,
Cl* NGC 2070     MH     686,*,,
Cl* NGC 2070     MH     699,*,,
Cl* NGC 2070     MH     707,*,,
Cl* NGC 2070     MH     714,*,,
Cl* NGC 2070     MH     716,*,,
Cl* NGC 2070     MH     740,*,,
Cl* NGC 2070     MH     745,*,,
Cl* NGC 2070     MH     755,*,,
Cl* NGC 2070     MH     762,*,,
Cl* NGC 2070     MH     768,*,,
Cl* NGC 2070     MH     779,*,,
Cl* NGC 2070     MH     780,*,,
Cl* NGC 2070     MH     784,*,,
Cl* NGC 2070     MH     785,*,,
Cl* NGC 2070     MH     811,*,,
Cl* NGC 2070     MH     822,*,,
Cl* NGC 2070     MH     823,*,,
Cl* NGC 2070     MH     825,*,,
Cl* NGC 2070     MH     836,*,,
Cl* NGC 2070     MH     851,*,,
Cl* NGC 2070     MH     852,*,,
Cl* NGC 2070     MH     855,*,,
Cl* NGC 2070     MH     859,*,,
Cl* NGC 2070     MH     862,*,,
Cl* NGC 2070     MH     873,*,,
Cl* NGC 2070     MH     878,*,,
Cl* NGC 2070     MH     884,*,,
Cl* NGC 2070     MH     895,*,,
Cl* NGC 2070     MH     898,*,,
Cl* NGC 2070     MH     901,*,,
Cl* NGC 2070     MH     909,*,,
Cl* NGC 2070     MH     913,*,,
Cl* NGC 2070     MH     915,*,,
Cl* NGC 2070     MH     917,*,,
Cl* NGC 2070     MH     929,*,,
Cl* NGC 2070     MH     938,*,,
Cl* NGC 2070     MH     953,*,,
Cl* NGC 2070     MH     964,*,,
Cl* NGC 2070     MH     965,*,,
Cl* NGC 2070     MH     988,*,,
Cl* NGC 2070     MH     998,*,,
Cl* NGC 2070     MH    1000,*,,
Cl* NGC 2070     MH    1003,*,,
Cl* NGC 2070     MH    1004,*,,
Cl* NGC 2070    MEL      10,SB*,,
Cl* NGC 2070    MEL      52,*,,
Cl* NGC 2070    MEL      53b,*,,
Cl* NGC 2070    MEL      60,*,,
Cl* NGC 2070    SMB      88,*,,
Cl* NGC 2168      M       6,*,,
Cl* NGC 2168     CD     376,SB*,,
Cl* NGC 2168     CD     628,*,,
Cl* NGC 2168     CD     632,*,,
Cl* NGC 2168     RA       2,WD*,,
Cl* NGC 2168     SB     620,*,,
Cl* NGC 2168    BSB    5043,*,,
Cl* NGC 2168    BSB    5083,*,,
Cl* NGC 2168    CUD     366,*,,
Cl* NGC 2168    CUD     503,*,,
Cl* NGC 2172     FH      17,*,,
Cl* NGC 2210     HN       7,*,,
Cl* NGC 2210     HN      11,*,,
Cl* NGC 2210     HN      19,*,,
Cl* NGC 2210     HN      20,*,,
Cl* NGC 2210     HN      21,*,,
Cl* NGC 2210     HN      23,*,,
Cl* NGC 2210     HN      40,*,,
Cl* NGC 2210     HN      41,*,,
Cl* NGC 2210     HN      44,*,,
Cl* NGC 2210     HN      46,*,,
Cl* NGC 2210     HN      50,*,,
Cl* NGC 2210     HN      52,*,,
Cl* NGC 2210     HN      66,*,,
Cl* NGC 2210     HN      71,*,,
Cl* NGC 2210     HN      72,*,,
Cl* NGC 2210     HN      73,*,,
Cl* NGC 2210     HN      75,*,,
Cl* NGC 2210    ABW      22,*,,
Cl* NGC 2210    NEM       7F,*,,
Cl* NGC 2210    NEM       7G,*,,
Cl* NGC 2210    NEM      19C,*,,
Cl* NGC 2210    NEM      40A,*,,
Cl* NGC 2210    SOA      E,*,,
Cl* NGC 2210    SOA      K,*,,
Cl* NGC 2210    SOA      V,*,,
Cl* NGC 2210   HNNE       2,*,,
Cl* NGC 2210   HNNE       5,*,,
Cl* NGC 2210   HNSE       5,*,,
Cl* NGC 2210   HNSE       9,*,,
Cl* NGC 2210   HNSW       7,*,,
Cl* NGC 2210   HNSW      10,*,,
Cl* NGC 2243      V      Z,*,,
Cl* NGC 2257      P      A,*,,
Cl* NGC 2257     AA      C,*,,
Cl* NGC 2257     AA      H,*,,
Cl* NGC 2257    HHU    3502,RR*,,
Cl* NGC 2264    SBL     310,TT*,,
Cl* NGC 2287     RA       2,WD*,,
Cl* NGC 2353    FHR     178,*,,
Cl* NGC 2360    EGG      55,*,,
Cl* NGC 2360    EGG     155,*,,
Cl* NGC 2419     RH      36,RB?,,
Cl* NGC 2419     RH      E,*,,
Cl* NGC 2419    SAW V15,RR*,,
Cl* NGC 2419    SAW V21,RR*,,
Cl* NGC 2419    SAW V35,RR*,,
Cl* NGC 2419    SAW V8,LP*,,
Cl* NGC 2419    SKK       5,RG*,,
Cl* NGC 2419    SKK       8,*,,
Cl* NGC 2419    SKK      14,RG*,,
Cl* NGC 2419    SKK      19,*,,
Cl* NGC 2419    SKK      J,*,,
Cl* NGC 2419    SKK      N,*,,
Cl* NGC 2419    SKK      Q,*,,
Cl* NGC 2419    SKK      a,*,,
Cl* NGC 2419    SKK      l,*,,
Cl* NGC 2632      S     105,SB*,,
Cl* NGC 2632      S     118,*,,
Cl* NGC 2632      S     121,Er*,,
Cl* NGC 2632      S     145,Er*,,
Cl* NGC 2632      S     154,*,,
Cl* NGC 2632     JC       3,*,,
Cl* NGC 2632     JC      17,PM*,,
Cl* NGC 2632     JC      24,*,,
Cl* NGC 2632     JC      27,*,,
Cl* NGC 2632     JC      39,*,,
Cl* NGC 2632     JC      46,*,,
Cl* NGC 2632     JC      49,*,,
Cl* NGC 2632     JC      53,*,,
Cl* NGC 2632     JC      54,*,,
Cl* NGC 2632     JC      76,*,,
Cl* NGC 2632     JC      80,Er*,,
Cl* NGC 2632     JC     106,*,,
Cl* NGC 2632     JC     109,*,,
Cl* NGC 2632     JC     134,*,,
Cl* NGC 2632     JC     141,*,,
Cl* NGC 2632     JC     152,*,,
Cl* NGC 2632     JC     172,*,,
Cl* NGC 2632     JC     180,Er*,,
Cl* NGC 2632     JC     181,*,,
Cl* NGC 2632     JC     184,Er*,,
Cl* NGC 2632     JC     185,*,,
Cl* NGC 2632     JC     190,*,,
Cl* NGC 2632     JC     228,SB*,,
Cl* NGC 2632     JS     395,*,,
Cl* NGC 2660    MMU    9025,*,,
Cl* NGC 2682      H       1,*,,
Cl* NGC 2682      H      11,*,,
Cl* NGC 2682     ES    I-2,SB*,,
Cl* NGC 2682     ES    I-201,*,,
Cl* NGC 2682     ES    I-202,*,,
Cl* NGC 2682     ES    I-218,*,,
Cl* NGC 2682     ES    I-22,*,,
Cl* NGC 2682     ES    I-231,*,,
Cl* NGC 2682     ES    I-4,*,,
Cl* NGC 2682     ES    I-46,*,,
Cl* NGC 2682     ES    I-52,*,,
Cl* NGC 2682     ES    I-53,*,,
Cl* NGC 2682     ES    I-55,*,,
Cl* NGC 2682     ES    I-8,*,,
Cl* NGC 2682     ES   II-1,SB*,,
Cl* NGC 2682     ES   II-10,*,,
Cl* NGC 2682     ES   II-11,*,,
Cl* NGC 2682     ES   II-12,*,,
Cl* NGC 2682     ES   II-19,*,,
Cl* NGC 2682     ES   II-2,SB*,,
Cl* NGC 2682     ES   II-207,*,,
Cl* NGC 2682     ES   II-218,*,,
Cl* NGC 2682     ES   II-221,*,,
Cl* NGC 2682     ES   II-225,*,,
Cl* NGC 2682     ES   II-227,*,,
Cl* NGC 2682     ES   II-26,*,,
Cl* NGC 2682     ES   II-7,*,,
Cl* NGC 2682     ES   IV-1,*,,
Cl* NGC 2682     ES   IV-215,*,,
Cl* NGC 2682     ES   IV-29,*,,
Cl* NGC 2682     ES   IV-4,SB*,,
Cl* NGC 2682     ES   IV-6,SB*,,
Cl* NGC 2682     ES  III-10,SB*,,
Cl* NGC 2682     ES  III-13,*,,
Cl* NGC 2682     ES  III-18,SB*,,
Cl* NGC 2682     ES  III-19,*,,
Cl* NGC 2682     ES  III-207,*,,
Cl* NGC 2682     ES  III-29,*,,
Cl* NGC 2682     ES  III-8,SB*,,
Cl* NGC 2682     ES  III-9,*,,
Cl* NGC 2682     JS      i,SB*,,
Cl* NGC 2682     JS      m,*,,
Cl* NGC 2682     JS      s,*,,
Cl* NGC 2682     JS      v,*,,
Cl* NGC 2682     JS     aa,*,,
Cl* NGC 2682    FBC    2036,*,,
Cl* NGC 2682    FBC    2049,*,,
Cl* NGC 2682    FBC    2063,*,,
Cl* NGC 2682    FBC    2069,*,,
Cl* NGC 2682    FBC    2088,*,,
Cl* NGC 2682    FBC    2103,*,,
Cl* NGC 2682    FBC    2140,*,,
Cl* NGC 2682    FBC    2188,*,,
Cl* NGC 2682    FBC    2193,*,,
Cl* NGC 2682    FBC    2306,*,,
Cl* NGC 2682    FBC    2318,*,,
Cl* NGC 2682    FBC    2324,*,,
Cl* NGC 2682    FBC    2328,*,,
Cl* NGC 2682    FBC    2371,*,,
Cl* NGC 2682    FBC    2406,*,,
Cl* NGC 2682    FBC    2458,*,,
Cl* NGC 2682    FBC    2485,*,,
Cl* NGC 2682    FBC    2486,*,,
Cl* NGC 2682    FBC    2490,*,,
Cl* NGC 2682    FBC    2523,*,,
Cl* NGC 2682    FBC    2539,*,,
Cl* NGC 2682    FBC    2565,*,,
Cl* NGC 2682    FBC    2640,*,,
Cl* NGC 2682    FBC    2642,*,,
Cl* NGC 2682    FBC    2650,*,,
Cl* NGC 2682    FBC    2680,*,,
Cl* NGC 2682    FBC    2724,*,,
Cl* NGC 2682    FBC    2884,*,,
Cl* NGC 2682    FBC    2948,*,,
Cl* NGC 2682    FBC    3025,*,,
Cl* NGC 2682    FBC    3100,*,,
Cl* NGC 2682    FBC    3149,*,,
